PQID,CMT_AMT,UID,UNM,Month,Day,Year,CAT
H2IL12122,4000,C00366070,"ENYART, WILLIAM L JR",10,26,2012,DEM
H2IL17063,5000,C00142315,"KOEHLER, DAVID M",9,20,2011,DEM
H2IL20042,1000,C00101766,"SHIMKUS, JOHN M",5,11,2011,REP
H2IL20042,1000,C00101766,"SHIMKUS, JOHN M",6,21,2012,REP
H2LA05084,2500,C00226472,"ALEXANDER, RODNEY M. MR.",1,10,2012,REP
H2LA05084,2500,C00226472,"ALEXANDER, RODNEY M. MR.",9,24,2012,REP
H2MD02160,1000,C00367995,"RUPPERSBERGER, C.A. DUTCH",3,16,2012,DEM
H2MD05155,4000,C00101766,"HOYER, STENY HAMILTON",7,29,2011,DEM
H2MD05155,2000,C00079541,"HOYER, STENY HAMILTON",1,23,2012,DEM
H2MD05155,2500,C00313650,"HOYER, STENY HAMILTON",9,5,2012,DEM
H2MD05155,2000,C00078261,"HOYER, STENY HAMILTON",10,2,2012,DEM
H2MD08126,1000,C00078261,"VAN HOLLEN, CHRIS",3,21,2012,DEM
H2MI17023,1000,C00168070,"LEVIN, SANDER M MR",7,21,2011,DEM
H2MI17023,1000,C00176727,"LEVIN, SANDER M MR",9,30,2011,DEM
H2MI17023,2000,C00389403,"LEVIN, SANDER M MR",11,30,2011,DEM
H2MT00047,1000,C00485003,"GILLAN, KIM",12,16,2011,DEM
H2MT01060,1000,C00485003,"DAINES, STEVEN",3,16,2011,REP
H2MT01060,1000,C00485003,"DAINES, STEVEN",9,30,2011,REP
H2MT01060,1000,C00485003,"DAINES, STEVEN",12,7,2011,REP
H2MT01060,1000,C00485003,"DAINES, STEVEN",3,28,2012,REP
H2MT01060,1000,C00485003,"DAINES, STEVEN",6,4,2012,REP
H2MT01060,2000,C00485003,"DAINES, STEVEN",9,27,2012,REP
H2NC08185,2500,C00313650,"HUDSON, RICHARD L. JR.",7,13,2012,REP
H2NC09134,1000,C00313650,"PITTENGER, ROBERT M THE HONORABLE",9,5,2012,REP
H2NC12021,1000,C00313650,"WATT, MELVIN L",9,5,2012,DEM
H2NJ02037,5000,C00142315,"LOBIONDO, FRANK A.",2,25,2011,REP
H2NJ02037,1000,C00101766,"LOBIONDO, FRANK A.",7,7,2011,REP
H2NJ02037,1000,C00101766,"LOBIONDO, FRANK A.",7,25,2011,REP
H2NJ02037,1000,C00366070,"LOBIONDO, FRANK A.",10,4,2011,REP
H2NJ02037,1000,C00366070,"LOBIONDO, FRANK A.",3,6,2012,REP
H2NJ02037,4000,C00366070,"LOBIONDO, FRANK A.",3,6,2012,REP
H2NJ02037,2000,C00101766,"LOBIONDO, FRANK A.",5,31,2012,REP
H2NJ02037,1000,C00313650,"LOBIONDO, FRANK A.",7,30,2012,REP
H2NJ02037,1000,C00078261,"LOBIONDO, FRANK A.",9,7,2012,REP
H2NJ10154,2000,C00078261,"PAYNE, DONALD M., JR.",10,17,2012,DEM
H2NV00035,3000,C00142315,"OCEGUERA, JOHN",3,19,2012,DEM
H2NV00035,538,C00484287,"OCEGUERA, JOHN",10,24,2012,DEM
H2NV00035,538,C00484287,"OCEGUERA, JOHN",10,25,2012,DEM
H2NV00035,538,C00484287,"OCEGUERA, JOHN",10,26,2012,DEM
H2NV00035,1615,C00484287,"OCEGUERA, JOHN",10,27,2012,DEM
H2NV00035,580,C00484287,"OCEGUERA, JOHN",10,27,2012,DEM
H2NV00035,1025,C00484287,"OCEGUERA, JOHN",10,27,2012,DEM
H2NV00035,949,C00484287,"OCEGUERA, JOHN",10,27,2012,DEM
H2NV00035,538,C00484287,"OCEGUERA, JOHN",10,28,2012,DEM
H2NV00035,540,C00484287,"OCEGUERA, JOHN",10,29,2012,DEM
H2NV00035,538,C00484287,"OCEGUERA, JOHN",10,30,2012,DEM
H2NV00035,538,C00484287,"OCEGUERA, JOHN",10,31,2012,DEM
H2NV00035,538,C00484287,"OCEGUERA, JOHN",11,1,2012,DEM
H2NV00035,538,C00484287,"OCEGUERA, JOHN",11,2,2012,DEM
H2NV00035,538,C00484287,"OCEGUERA, JOHN",11,3,2012,DEM
H2NV00035,538,C00484287,"OCEGUERA, JOHN",11,4,2012,DEM
H2NV00035,538,C00484287,"OCEGUERA, JOHN",11,5,2012,DEM
H2NV00035,538,C00484287,"OCEGUERA, JOHN",11,6,2012,DEM
H2NV02247,2500,C00367995,"MARSHALL, KATE",6,17,2011,DEM
H2NV02247,1500,C00142315,"MARSHALL, KATE",6,27,2011,DEM
H2NV02395,1500,C00367995,"AMODEI, MARK EUGENE",4,9,2012,REP
H2NV02395,5000,C00142315,"AMODEI, MARK EUGENE",9,27,2012,REP
